Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 3.839E+01, 5.392E+01, 1.730E+01, 4.111E+01, 6.451E+02, 1.262E+01, 2.373E+01, 0.000E+00, 1.842E+01, 6.015E-01, 7.568E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 8.587E+02
    1, 3.741E+01, 4.972E+01, 1.521E+01, 3.646E+01, 6.434E+02, 1.126E+01, 2.258E+01, 0.000E+00, 1.672E+01, 6.132E-01, 2.538E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 8.587E+02
    2, 3.097E+01, 5.054E+01, 1.679E+01, 4.381E+01, 6.470E+02, 1.147E+01, 2.710E+01, 0.000E+00, 1.920E+01, 6.607E+00, 5.285E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 8.587E+02
    3, 3.450E+01, 4.854E+01, 1.486E+01, 3.852E+01, 6.456E+02, 1.122E+01, 2.426E+01, 0.000E+00, 1.687E+01, 2.575E+00, 2.176E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 8.587E+02
    4, 3.658E+01, 5.223E+01, 1.695E+01, 4.289E+01, 6.468E+02, 1.254E+01, 2.212E+01, 0.000E+00, 1.851E+01, 6.314E-01, 9.539E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 8.587E+02
    5, 3.659E+01, 4.924E+01, 1.540E+01, 3.762E+01, 6.456E+02, 1.107E+01, 2.291E+01, 0.000E+00, 1.616E+01, 6.097E-01, 2.353E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 8.587E+02
    6, 3.431E+01, 5.221E+01, 1.687E+01, 4.280E+01, 6.464E+02, 1.244E+01, 2.449E+01, 0.000E+00, 1.843E+01, 6.348E-01, 1.021E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 8.587E+02
    7, 3.502E+01, 5.196E+01, 1.687E+01, 4.256E+01, 6.467E+02, 1.203E+01, 2.446E+01, 0.000E+00, 1.857E+01, 6.034E-01, 9.969E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 8.587E+02
