s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 2.0602017E+002, 6.8655428E+001,-1.5650174E+001,-3.6787645E+001,-5.7152227E+000,-6.4243500E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.8700358E+000, 1.0495962E+001, 2.5504718E-003, 2.5504718E-003
 2.0705974E+002, 6.8980155E+001,-1.5175648E+001,-4.2647468E+001,-5.6383054E+000,-6.4533080E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1156707E+000, 5.5122799E+000, 2.5630547E-003, 2.5630547E-003
 2.0803593E+002, 6.8985401E+001,-1.4911751E+001,-3.9220961E+001,-5.5949591E+000,-6.4709923E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.6593389E+000, 9.2512581E+000, 2.5755702E-003, 2.5755702E-003
 2.0904543E+002, 6.9674791E+001,-1.5664973E+001,-4.3035250E+001,-5.7277002E+000,-6.5040068E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2576126E+000, 5.2403637E+000, 2.5878371E-003, 2.5878371E-003
 2.1002280E+002, 6.8937196E+001,-1.5373084E+001,-3.9692911E+001,-5.9447060E+000,-6.5395937E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8354564E+000, 7.9199550E+000, 2.6003497E-003, 2.6003497E-003
 2.1105653E+002, 6.9519320E+001,-1.5497607E+001,-3.8554661E+001,-6.0684307E+000,-6.5706973E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.6706913E+000, 9.3920504E+000, 2.6127075E-003, 2.6127075E-003
 2.1202136E+002, 6.9792444E+001,-1.5858183E+001,-4.0507399E+001,-6.2637068E+000,-6.6067554E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6638179E+000, 7.1565491E+000, 2.6251291E-003, 2.6251291E-003
 2.1305511E+002, 7.0721606E+001,-1.5609655E+001,-3.9786102E+001,-6.3256479E+000,-6.6190461E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.4655935E+000, 8.9935820E+000, 2.6375223E-003, 2.6375223E-003
 2.1401994E+002, 7.1509564E+001,-1.6058586E+001,-4.2281224E+001,-6.3461891E+000,-6.6603674E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4782297E+000, 6.8169045E+000, 2.6498021E-003, 2.6498021E-003
 2.1505370E+002, 7.1522991E+001,-1.6052040E+001,-4.5018776E+001,-6.2390241E+000,-6.7041443E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1565654E+000, 4.2064474E+000, 2.6621387E-003, 2.6621387E-003
 2.1601852E+002, 7.1354052E+001,-1.6486531E+001,-3.9615161E+001,-6.3546901E+000,-6.7096184E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.7104523E+000, 8.8909597E+000, 2.6746879E-003, 2.6746879E-003
 2.1702470E+002, 7.2599932E+001,-1.5946405E+001,-3.6517103E+001,-6.5454891E+000,-6.7384840E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1989353E+001, 1.3584196E+001, 2.6869603E-003, 2.6869603E-003
 2.1801021E+002, 7.2598203E+001,-1.5995932E+001,-3.8323493E+001,-6.5972724E+000,-6.7832512E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0778375E+001, 1.1674722E+001, 2.6992464E-003, 2.6992464E-003
 2.1902808E+002, 7.3413417E+001,-1.6506493E+001,-3.8383240E+001,-6.5939304E+000,-6.8127124E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0090038E+001, 1.1922941E+001, 2.7117684E-003, 2.7117684E-003
 2.2004594E+002, 7.1883589E+001,-1.5768102E+001,-3.5604893E+001,-6.7429023E+000,-6.8103457E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2531498E+001, 1.3760882E+001, 2.7242751E-003, 2.7242751E-003
 2.2106380E+002, 7.2406906E+001,-1.6336029E+001,-3.6843957E+001,-6.5456184E+000,-6.8384865E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1369751E+001, 1.2674463E+001, 2.7369803E-003, 2.7369803E-003
 2.2201381E+002, 7.5448440E+001,-1.6432406E+001,-3.4551489E+001,-6.3146829E+000,-6.8811688E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6451320E+001, 1.8142981E+001, 2.7491325E-003, 2.7491325E-003
 2.2303168E+002, 7.4941613E+001,-1.6968953E+001,-3.6048470E+001,-6.0898280E+000,-6.9059722E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5603792E+001, 1.5827456E+001, 2.7611996E-003, 2.7611996E-003
 2.2404953E+002, 7.2926948E+001,-1.5248558E+001,-4.0125252E+001,-6.2043089E+000,-6.9531905E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.6033084E+000, 1.1341875E+001, 2.7741033E-003, 2.7741033E-003
